Departure_Division,Destination_Division,Distance,Duration
Miri,Mukah,337.1,4 hrs 50 min
Miri,Bintulu,210.6,2 hrs 48 min
Miri,Kapit,533.2,7 hrs 31 min
Miri,Limbang,188.3,3 hrs 1 min
Limbang,Kuching,999.4,13 hrs 7 min
Limbang,Serian,938.1,12 hrs 3 min
Limbang,Samarahan,992,12 hrs 53 min
Limbang,Sri Aman,826.3,11hrs
Limbang,Betong,761.8,10 hrs 18 min
Limbang,Sarikei,643.5,9 hrs 3 min
Limbang,Sibu,592.9,8 hrs 8 min
Limbang,Mukah,526,7 hrs 36 min
Limbang,Bintulu,391.8,5 hrs 36 min
Limbang,Kapit,722.1,10 hrs 18 min
Limbang,Miri,188.3,3 hrs 1 min
