Citizenship,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,G. Total
Arabs,18,36,26,91,79,91,135,216,320,293,272,455,2032
Australia,62,46,36,289,397,624,768,899,965,982,1188,1568,7824
Bangladesh,58,19,29,51,77,60,98,100,79,116,105,147,939
Belgium,23,5,1,44,111,188,543,580,436,205,147,280,2563
Brunei,441,334,435,687,941,1824,6891,34702,62133,62372,62659,187702,421121
Canada,13,21,26,58,84,144,162,297,331,415,478,523,2552
China,139,116,141,430,802,977,976,1051,1225,689,766,1914,9226
Europe,90,45,24,164,213,331,796,1253,598,379,294,594,4781
France,28,21,24,82,78,146,417,576,223,245,194,337,2371
Germany,14,12,11,78,184,211,400,613,524,451,327,353,3178
Hong Kong,101,142,183,191,51,69,145,267,14,1,17,55,1236
India,322,306,423,597,685,870,889,863,1525,1133,1167,1788,10568
Indonesia,888,859,1085,3303,15019,25454,24782,27439,27370,28765,29383,43940,228287
Japan ,79,63,77,138,242,267,347,424,439,461,442,517,3496
Latin America,11,14,6,30,18,32,56,41,41,73,35,33,390
New Zealand,6,7,11,36,47,65,127,131,224,196,150,300,1300
Norway,4,7,5,15,51,87,224,197,160,278,154,161,1343
Pakistan,68,55,79,57,125,148,150,207,228,225,323,280,1945
Peninsular Malaysia,43929,43669,53777,46062,67689,64947,55049,70273,86374,80059,72118,96745,780691
Philippines,217,301,286,433,495,611,590,1039,1240,1705,1663,2938,11518
Russia,15,8,9,9,15,61,39,51,81,78,78,135,579
Sabah,24934,23661,29145,25247,37633,31137,29564,44859,50135,48216,44188,68708,457427
Singapore,93,110,317,855,2069,3611,2843,3086,3835,3730,4779,6900,32228
South Korea,165,128,164,269,354,445,516,543,594,622,591,770,5161
Sri Lanka,9,8,14,7,35,26,32,54,47,48,31,67,378
Taiwan,91,20,29,85,111,178,231,315,306,383,466,558,2773
Thailand,50,63,74,113,203,220,306,400,422,645,526,696,3718
United Kingdom,101,85,88,294,403,530,1158,1720,1565,2387,1287,2155,11773
USA,114,13,16,153,239,426,513,532,547,264,200,660,3677
Grand Total,72083,70174,86541,79868,128450,133780,128747,192728,241981,235416,224028,421279,2015075
